"umd_tree_cover_loss__year","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","tsc_tree_cover_loss_drivers__type"
2014,95535820.59792417,1829359.92230364,175149004.42952764,"Wildfire"
2006,85364932.09346476,1391473.8350915436,156502375.50468546,"Wildfire"
2012,96255073.66115123,1621578.982813395,176467635.045444,"Wildfire"
2004,90452802.0126464,1540379.2630501406,165830137.02318513,"Wildfire"
2005,99804086.43309115,1727057.7425452406,182974158.46066713,"Wildfire"
2008,66590350.2814984,1174699.9303079697,122082308.84941365,"Wildfire"
2007,68208531.28250432,1114308.4757445839,125048974.0179246,"Wildfire"
2011,84725901.54378085,1431083.170210134,155330819.49693164,"Wildfire"
2013,101075672.65123904,2070947.9404432771,185305399.86060467,"Wildfire"
2010,81949913.23277172,1328326.5618644254,150241507.59341496,"Wildfire"
2002,73152434.70110588,1354635.242751626,134112796.95202745,"Wildfire"
2009,54328047.97097699,841588.6560551303,99601421.28012441,"Wildfire"
2015,103303100.86911751,1797141.195041163,189389018.26004875,"Wildfire"
2001,28828309.210004956,546769.7292952338,52851900.21834239,"Wildfire"
2003,52482994.030373745,894201.154860571,96218822.38901854,"Wildfire"
2016,70608456.75612113,1078312.9622016589,129448837.38622212,"Wildfire"
2018,86421513.1466531,1160272.5629297318,158439440.76886392,"Wildfire"
2017,94565386.77134877,1480898.2038584729,173369875.7474729,"Wildfire"
2019,95648917.70750545,1191332.129610857,175356349.13042665,"Wildfire"
2004,126110305.95606038,1130886.1451351522,231202227.58611065,"Forestry"
2006,111040634.51302665,983548.841041865,203574496.60721546,"Forestry"
2007,110482522.1084949,978184.709368989,202551290.53224063,"Forestry"
2012,99230739.24089168,886032.0647465863,181923021.94163474,"Forestry"
2005,122022228.45674923,1167708.1244138905,223707418.83737355,"Forestry"
2002,96571540.305196,932260.8931148926,177047823.89285934,"Forestry"
2001,84120064.97377512,785526.8438156227,154220119.1185877,"Forestry"
2016,103104968.79588549,976263.6664842485,189025776.12579006,"Forestry"
2008,84975350.51275082,746606.2347103165,155788142.6067098,"Forestry"
2003,76016785.55986351,694067.233010273,139364106.85974976,"Forestry"
2011,79405586.05497453,708212.7997559864,145576907.76745328,"Forestry"
2014,86870803.21244931,791554.1122763222,159263139.22282374,"Forestry"
2010,84858393.35085586,751915.1385698237,155573721.14323574,"Forestry"
2013,76966883.75509623,709779.2782890905,141105953.55100974,"Forestry"
2017,114947526.72971775,1055189.4932330376,210737132.3378159,"Forestry"
2015,93594871.56199048,920720.1886411149,171590597.86364928,"Forestry"
2009,77270356.35465361,686459.3883021149,141662319.98353162,"Forestry"
2019,100551692.78878334,959335.9788625,184344770.1127695,"Forestry"
2018,103200368.81464721,961004.3484187359,189200676.16018653,"Forestry"
2008,1222567.345853981,17257.68786101891,2241373.4673989657,"Unknown"
2012,1643909.318343203,23690.73973534804,3013833.750295872,"Unknown"
2002,1353091.2234399049,19933.042928668194,2480667.242973159,"Unknown"
2004,1197018.1810444733,17781.91121727051,2194533.3319148677,"Unknown"
2010,1129219.9894033636,16698.824694583833,2070236.6472394997,"Unknown"
2009,1023692.066550341,13957.666616408978,1876768.7886756249,"Unknown"
2001,1146078.941910287,17053.78437417913,2101144.7268355256,"Unknown"
2006,1119961.0671801022,16768.410833056732,2053261.956496854,"Unknown"
2013,1202493.17285296,18481.180902379914,2204570.8168970933,"Unknown"
2007,1086394.9034753148,14891.920927732508,1991723.9897047437,"Unknown"
2005,905486.9908849553,13265.529776056035,1660059.4832890849,"Unknown"
2011,1037326.3641142655,15064.020111983144,1901765.0008761534,"Unknown"
2014,799174.4177157313,13203.93035889163,1465153.0991455072,"Unknown"
2003,618168.994626282,9188.2290114176,1133309.823481517,"Unknown"
2019,816426.7945667354,12331.655248722216,1496782.4567056815,"Unknown"
2016,594449.449815099,9913.436805332938,1089823.9913276813,"Unknown"
2015,432909.39629131026,7442.301805584582,793667.2265340687,"Unknown"
2018,597149.8548464496,9393.027565776607,1094774.7338851574,"Unknown"
2017,649688.8358792628,9783.626158402349,1191096.1991119816,"Unknown"
2002,367259.3632036715,4898.053291615451,673308.8325400645,"Commodity driven deforestation"
