"umd_tree_cover_loss__year","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","tsc_tree_cover_loss_drivers__type"
2016,140801505.40499493,1219728.3207202943,258136093.24249077,"Forestry"
2004,122618369.51453604,1056089.9557353011,224800344.10998267,"Forestry"
2008,112985364.67651355,977471.901694894,207139835.24027485,"Forestry"
2007,104046501.25162716,884284.0323981579,190751918.96131638,"Forestry"
2011,159296267.3262487,1349876.7813963206,292043156.76478916,"Forestry"
2005,96173529.86870241,833220.7087838401,176318138.09262112,"Forestry"
2013,113959173.33994988,1013562.9011778956,208925151.12324134,"Forestry"
2003,84282544.77454762,785648.8916778353,154517998.7533373,"Forestry"
2012,154607978.32178083,1370318.8841401641,283447960.2565983,"Forestry"
2010,111523186.80630471,918875.5682519928,204459175.81155866,"Forestry"
2001,70410865.08135276,677872.8968421288,129086585.98248005,"Forestry"
2006,97091438.7388303,845373.6612208448,178000971.02118886,"Forestry"
2009,104131708.5518159,876147.6157622833,190908132.34499577,"Forestry"
2017,135251080.67163324,1135530.760770442,247960314.56466097,"Forestry"
2014,113875155.67166093,980729.4249653191,208771118.7313784,"Forestry"
2002,76850370.58317475,714285.9881426793,140892346.06915373,"Forestry"
2015,92125243.3286955,774854.8745890768,168896279.43594173,"Forestry"
2018,126737130.3660633,1049637.2455509007,232351405.67111588,"Forestry"
2019,111665805.1178129,951070.7890384947,204720642.7159904,"Forestry"
2007,3328295.8234838163,35849.928903143795,6101875.676386996,"Unknown"
2012,5590441.425221363,60847.12818409868,10249142.61290583,"Unknown"
2004,4289547.056881837,49755.165631922544,7864169.604283365,"Unknown"
2005,3167481.565660729,36076.54046764073,5807049.53704467,"Unknown"
2006,3770699.24893416,41764.60051168954,6912948.6230459595,"Unknown"
2011,3993654.53730707,41395.932007328556,7321699.985062962,"Unknown"
2013,3111974.023017033,37082.575746323055,5705285.70886456,"Unknown"
2001,3916078.0986797647,46752.54117266654,7179476.514246234,"Unknown"
2010,4535493.760395566,46496.23114985377,8315071.894058537,"Unknown"
2009,3992481.799730041,44316.92915561481,7319549.9661717415,"Unknown"
2008,3584278.9200759963,40071.49424923791,6571178.020139326,"Unknown"
2014,2172988.9358579773,24163.917493865425,3983813.049072958,"Unknown"
2002,3203173.293176831,37492.31844143006,5872484.370824189,"Unknown"
2003,1671842.1892436796,19760.499278077616,3065044.013613412,"Unknown"
2016,2050884.5145491066,22378.213732550343,3759954.943340028,"Unknown"
2017,1917690.3276578349,20196.481632415896,3515765.6007060306,"Unknown"
2015,1335845.4816905477,13094.152142326273,2449050.049766003,"Unknown"
2018,1928619.082660067,18722.559007501346,3535801.651543456,"Unknown"
2019,1945412.801265437,21136.985615641657,3566590.1356533007,"Unknown"
2004,178471800.41149738,2414756.9915719875,327198300.7544117,"Wildfire"
2012,303837377.2195968,3958309.997555578,557035191.5692606,"Wildfire"
2010,71581926.59563954,892588.3979786751,131233532.0920058,"Wildfire"
2011,113554664.9230235,1626772.1991814175,208183552.35887662,"Wildfire"
2006,101381923.80445132,1345577.9175347695,185866860.30816072,"Wildfire"
2009,88464744.8887431,1190503.60891383,162185365.62936226,"Wildfire"
2005,62454637.81469413,720189.6609941984,114500169.32693921,"Wildfire"
2007,135994717.2642665,1417649.91274026,249323648.31782183,"Wildfire"
2013,314967746.7073362,3913847.7320578336,577440868.9634497,"Wildfire"
2016,261577329.39497107,3808544.47989489,479558437.22411335,"Wildfire"
2014,220309953.68847418,3484219.49632138,403901581.7622027,"Wildfire"
2008,154249782.29965883,2029887.9375736604,282791267.54937446,"Wildfire"
2003,140494566.12824762,2224152.04629502,257573371.23512062,"Wildfire"
2001,69910402.71769442,1101523.5504488999,128169071.64910635,"Wildfire"
2002,116260019.27892053,1948225.5471079363,213143368.67802086,"Wildfire"
2015,110738563.18960103,1543179.3142752328,203020699.18093517,"Wildfire"
2017,354742796.5668354,4132197.5927912863,650361793.705865,"Wildfire"
2018,340641118.7633668,4491182.066477946,624508717.7328389,"Wildfire"
2019,171170583.7894479,2713835.74824096,313812736.94732106,"Wildfire"
2017,67824.83767430611,448.96620561257464,124345.53573622786,"Commodity driven deforestation"
2002,34706.61333950948,218.1410925297663,63628.791122434035,"Commodity driven deforestation"
2012,70933.91052752407,531.365144032412,130045.50263379414,"Commodity driven deforestation"
2004,30930.572495523586,201.9978289740945,56706.04957512657,"Commodity driven deforestation"
2006,52575.81307372128,332.92092583349717,96388.99063515567,"Commodity driven deforestation"
2007,95216.95072310875,599.2624347167194,174564.4096590327,"Commodity driven deforestation"
2009,39002.63963322869,245.36272619719225,71504.83932758593,"Commodity driven deforestation"
2013,27401.236541554546,176.0285106458135,50235.600326183325,"Commodity driven deforestation"
2016,54255.98114018567,361.4084620642017,99469.29875700705,"Commodity driven deforestation"
2010,89494.46392202273,589.4183451398306,164073.18385704173,"Commodity driven deforestation"
2018,67408.64599460301,474.0420126313309,123582.51765677214,"Commodity driven deforestation"
2003,42264.91619973835,287.7367883424014,77485.67969952033,"Commodity driven deforestation"
2005,29866.360515309556,195.40429133601998,54754.99427806751,"Commodity driven deforestation"
2001,36846.819164458546,259.46697223607714,67552.50180150733,"Commodity driven deforestation"
2011,92758.32617035416,599.3587686317153,170056.93131231598,"Commodity driven deforestation"
